"","Epsilon","p.le1","p.ge1"
"1","0.5",5.63731508049208,0.157015439037835
"2","1",4.18587337234389,0.0440004699708321
"3","1.5",3.26442530300669,0.0227842876355465
"4","2",2.5643471891562,0.0143898695806255
"5","2.5",2.07961166278557,0.00982154251544659
"6","3",1.8201134997706,0.00816684140486724
"7","4",1.35764431436164,0.00536153201291108
"8","5",1.02692834090654,0.00408698611902645
"9","10",0.493696043673954,0.00250938514617631
"10","25",0.238427658066766,0.00192866998861764
"11","100",0.147915545824936,0.00177585305857967
