"","Epsilon","p.le1","p.ge1"
"1","0.5",6.98518513655021,4.77084927456104
"2","1",2.73796003877869,2.55444756396267
"3","1.5",1.26488070731589,1.65919478700791
"4","2",0.680598041615277,1.11363678946333
"5","2.5",0.416960511558206,0.737178545624015
"6","3",0.302488288135525,0.587095937329492
"7","4",0.180750047706928,0.343207030300645
"8","5",0.122207802455596,0.219926601733596
"9","10",0.0502496992769769,0.0792325067085844
"10","25",0.0215551418809698,0.0299894753937139
"11","100",0.0146424934366357,0.0162709873415735
